"name","followers","popularity","genres","uri","url","image"
"4B","70917","49","electro house| electronic trap","spotify:artist:0LIl9fjMPEZp8UDiL8Yuo4","https://open.spotify.com/artist/0LIl9fjMPEZp8UDiL8Yuo4","https://i.scdn.co/image/ab6761610000e5eb29e2049c97108551b1b1afac"
"Above & Beyond","703251","67","edm| pop dance| progressive house| progressive trance| trance| uplifting trance","spotify:artist:10gzBoINW3cLJfZUka8Zoe","https://open.spotify.com/artist/10gzBoINW3cLJfZUka8Zoe","https://i.scdn.co/image/ab6761610000e5eb2a538d1a36a271885510d98a"
"Alan Fitzpatrick","125499","53","house| minimal techno| progressive house| tech house","spotify:artist:40JyDxGqtYSowWYT2jaive","https://open.spotify.com/artist/40JyDxGqtYSowWYT2jaive","https://i.scdn.co/image/ab6761610000e5eba278ea484da4e5b1a9862991"
"ALPHA 9","41499","50","edm| pop dance| progressive house| progressive trance| russian trance| trance| uplifting trance","spotify:artist:6ckI88Ggj8DPe0TNAAVkjn","https://open.spotify.com/artist/6ckI88Ggj8DPe0TNAAVkjn","https://i.scdn.co/image/ab6761610000e5eb1db7115c547519936cdf1ca8"
"atDusk","51","29","","spotify:artist:0PRVC5bRZEJh0r9XNRW4n4","https://open.spotify.com/artist/0PRVC5bRZEJh0r9XNRW4n4","https://i.scdn.co/image/ab6761610000e5eb70cb61d61914a2315597a946"
"Au5","92736","54","chillstep| complextro| dubstep| edm| electro house| future bass| gaming edm| melodic dubstep| pop edm","spotify:artist:40WIa01eubnEVkxUHeDZyF","https://open.spotify.com/artist/40WIa01eubnEVkxUHeDZyF","https://i.scdn.co/image/ab6761610000e5ebf207f2c7e1897ea962e35bcb"
"Barely Alive","178464","54","brostep| dubstep| edm| electro house| electronic trap| gaming dubstep| melodic dubstep","spotify:artist:5c3akKV3CUqAVOnGZqf4S3","https://open.spotify.com/artist/5c3akKV3CUqAVOnGZqf4S3","https://i.scdn.co/image/ab6761610000e5eb578eb59ddfebc23be2dcd4c8"
"Ben Nicky","60259","57","hard trance","spotify:artist:3Bd1phrOZJuCev9U0bzdtA","https://open.spotify.com/artist/3Bd1phrOZJuCev9U0bzdtA","https://i.scdn.co/image/ab6761610000e5eb7e270ab02ee3b95cad7e6a12"
"Benny Benassi","499408","68","edm| electro house| pop dance","spotify:artist:4Ws2otunReOa6BbwxxpCt6","https://open.spotify.com/artist/4Ws2otunReOa6BbwxxpCt6","https://i.scdn.co/image/ab6761610000e5eb66b3b7a685d928ca372956ea"
"Biscits","29173","64","bass house| deep groove house| house| pop dance| uk tech house","spotify:artist:052B9SONfhoScw7dgYWw5o","https://open.spotify.com/artist/052B9SONfhoScw7dgYWw5o","https://i.scdn.co/image/ab6761610000e5eb03abc684a1ea430c10e90f09"
"Blastoyz","77445","51","psychedelic trance","spotify:artist:6WLP1sraOcF3Gaxp7xBa4p","https://open.spotify.com/artist/6WLP1sraOcF3Gaxp7xBa4p","https://i.scdn.co/image/ab6761610000e5ebe7316dc067612c9ad0a13596"
"blossom","40","45","","spotify:artist:6r6R01WYKgmg2znexrcomi","https://open.spotify.com/artist/6r6R01WYKgmg2znexrcomi","https://i.scdn.co/image/ab6761610000e5eb19e21f97e83c0844f4c46182"
